"Group.1","x","timeWorked","cumTimeWorked","cumTickets","ticket_id"
"143479",2012-09-11,30.6666666666667,1776.29166666667,255,"143479"
"143610",2012-09-11,3.16666666666667,1779.45833333333,256,"143610"
"143980",2012-09-12,15,1794.45833333333,257,"143980"
"143892",2012-09-13,14,1808.45833333333,258,"143892"
"144068",2012-09-14,22.8,1831.25833333333,259,"144068"
"143961",2012-09-17,6,1837.25833333333,260,"143961"
"144064",2012-09-18,2.66666666666667,1839.925,261,"144064"
"144471",2012-09-18,1,1840.925,262,"144471"
"141928",2012-09-19,0.166666666666667,1841.09166666667,263,"141928"
"144070",2012-09-19,1,1842.09166666667,264,"144070"
"144227",2012-09-19,22,1864.09166666667,265,"144227"
"144376",2012-09-24,7,1871.09166666667,266,"144376"
"144380",2012-09-24,4,1875.09166666667,267,"144380"
"144742",2012-09-25,0.5,1875.59166666667,268,"144742"
"143886",2012-09-26,4,1879.59166666667,269,"143886"
"143969",2012-09-26,22,1901.59166666667,270,"143969"
"144168",2012-09-26,3.5,1905.09166666667,271,"144168"
"144778",2012-09-26,1,1906.09166666667,272,"144778"
"144966",2012-09-27,3,1909.09166666667,273,"144966"
"145030",2012-09-27,12,1921.09166666667,274,"145030"
"144808",2012-10-01,1.5,1922.59166666667,275,"144808"
"145038",2012-10-01,3.83333333333333,1926.425,276,"145038"
"144931",2012-10-04,7,1933.425,277,"144931"
"144686",2012-10-05,4,1937.425,278,"144686"
"145666",2012-10-09,0.5,1937.925,279,"145666"
"144828",2012-10-10,3,1940.925,280,"144828"
"145733",2012-10-10,0.25,1941.175,281,"145733"
"144597",2012-10-11,2,1943.175,282,"144597"
"145027",2012-10-11,12,1955.175,283,"145027"
"145717",2012-10-11,2,1957.175,284,"145717"
"145801",2012-10-11,0.5,1957.675,285,"145801"
"145833",2012-10-11,0.75,1958.425,286,"145833"
"145868",2012-10-12,2,1960.425,287,"145868"
"145983",2012-10-15,0.25,1960.675,288,"145983"
"146346",2012-10-19,2,1962.675,289,"146346"
"146211",2012-10-22,5.5,1968.175,290,"146211"
"146473",2012-10-22,2,1970.175,291,"146473"
"146482",2012-10-22,0.333333333333333,1970.50833333333,292,"146482"
"146033",2012-10-23,8.33333333333333,1978.84166666667,293,"146033"
"146427",2012-10-23,0.25,1979.09166666667,294,"146427"
"146487",2012-10-23,1.5,1980.59166666667,295,"146487"
"146523",2012-10-23,2,1982.59166666667,296,"146523"
"146432",2012-10-24,3,1985.59166666667,297,"146432"
"143842",2012-11-02,0.0833333333333333,1985.675,298,"143842"
"144053",2012-11-02,14,1999.675,299,"144053"
"144899",2012-11-02,1,2000.675,300,"144899"
"146406",2012-11-02,19.5,2020.175,301,"146406"
"146411",2012-11-02,21.6666666666667,2041.84166666667,302,"146411"
"146441",2012-11-02,3,2044.84166666667,303,"146441"
"146619",2012-11-02,9.75,2054.59166666667,304,"146619"
"146818",2012-11-02,9,2063.59166666667,305,"146818"
"146821",2012-11-02,1.5,2065.09166666667,306,"146821"
"146882",2012-11-02,0.5,2065.59166666667,307,"146882"
"146807",2012-11-05,3,2068.59166666667,308,"146807"
"146874",2012-11-05,3,2071.59166666667,309,"146874"
"147141",2012-11-05,3,2074.59166666667,310,"147141"
"147272",2012-11-05,0.75,2075.34166666667,311,"147272"
"147078",2012-11-06,6,2081.34166666667,312,"147078"
"147035",2012-11-07,1.5,2082.84166666667,313,"147035"
"147156",2012-11-08,1.25,2084.09166666667,314,"147156"
"147384",2012-11-08,7,2091.09166666667,315,"147384"
"146318",2012-11-09,5,2096.09166666667,316,"146318"
"146838",2012-11-09,6.16666666666667,2102.25833333333,317,"146838"
"147084",2012-11-09,2,2104.25833333333,318,"147084"
"147330",2012-11-09,1,2105.25833333333,319,"147330"
"147458",2012-11-09,1.5,2106.75833333333,320,"147458"
"147503",2012-11-09,0.0833333333333333,2106.84166666667,321,"147503"
"146649",2012-11-13,21,2127.84166666667,322,"146649"
"147610",2012-11-13,0.666666666666667,2128.50833333333,323,"147610"
"147648",2012-11-13,0.333333333333333,2128.84166666667,324,"147648"
"147818",2012-11-14,3,2131.84166666667,325,"147818"
"147394",2012-11-15,10,2141.84166666667,326,"147394"
"148108",2012-11-19,5.66666666666667,2147.50833333333,327,"148108"
"146684",2012-11-20,12.8333333333333,2160.34166666667,328,"146684"
"147174",2012-11-20,0.25,2160.59166666667,329,"147174"
"147383",2012-11-20,0.25,2160.84166666667,330,"147383"
"147522",2012-11-20,8,2168.84166666667,331,"147522"
"147716",2012-11-20,8,2176.84166666667,332,"147716"
"148135",2012-11-20,0.333333333333333,2177.175,333,"148135"
"148156",2012-11-20,3,2180.175,334,"148156"
"146116",2012-11-21,31,2211.175,335,"146116"
"147927",2012-11-21,2,2213.175,336,"147927"
"147842",2012-11-27,2.5,2215.675,337,"147842"
"148161",2012-11-27,32,2247.675,338,"148161"
"147814",2012-11-28,0.25,2247.925,339,"147814"
"148179",2012-11-28,0.25,2248.175,340,"148179"
"148307",2012-11-28,2,2250.175,341,"148307"
"148489",2012-11-28,2,2252.175,342,"148489"
"147983",2012-11-29,3.5,2255.675,343,"147983"
"148606",2012-11-29,10,2265.675,344,"148606"
"148608",2012-11-29,1,2266.675,345,"148608"
"148652",2012-11-30,2,2268.675,346,"148652"
"148782",2012-12-03,2,2270.675,347,"148782"
"148098",2012-12-04,15.6666666666667,2286.34166666667,348,"148098"
"148573",2012-12-04,1,2287.34166666667,349,"148573"
"148590",2012-12-04,1,2288.34166666667,350,"148590"
"148742",2012-12-04,5,2293.34166666667,351,"148742"
"148762",2012-12-04,8.5,2301.84166666667,352,"148762"
"148860",2012-12-04,0.5,2302.34166666667,353,"148860"
"148864",2012-12-04,2,2304.34166666667,354,"148864"
"148515",2012-12-05,0.25,2304.59166666667,355,"148515"
"148528",2012-12-05,1,2305.59166666667,356,"148528"
"148550",2012-12-05,1,2306.59166666667,357,"148550"
"148620",2012-12-05,1.5,2308.09166666667,358,"148620"
"148909",2012-12-05,2,2310.09166666667,359,"148909"
"148827",2012-12-07,1.25333333333333,2311.345,360,"148827"
"149048",2012-12-07,1.5,2312.845,361,"149048"
"149055",2012-12-07,1,2313.845,362,"149055"
"149112",2012-12-07,0.0833333333333333,2313.92833333333,363,"149112"
"148991",2012-12-10,1,2314.92833333333,364,"148991"
"149287",2012-12-10,1,2315.92833333333,365,"149287"
"149303",2012-12-11,0.166666666666667,2316.095,366,"149303"
"149330",2012-12-11,0.5,2316.595,367,"149330"
"149193",2012-12-12,2,2318.595,368,"149193"
"149253",2012-12-12,21,2339.595,369,"149253"
"149400",2012-12-12,5,2344.595,370,"149400"
"149496",2012-12-13,0.0833333333333333,2344.67833333333,371,"149496"
"149560",2012-12-14,4,2348.67833333333,372,"149560"
"149674",2012-12-15,1,2349.67833333333,373,"149674"
"149452",2012-12-17,5,2354.67833333333,374,"149452"
"149695",2012-12-18,5.5,2360.17833333333,375,"149695"
"149775",2012-12-18,0.25,2360.42833333333,376,"149775"
"149737",2012-12-19,1,2361.42833333333,377,"149737"
"148759",2012-12-20,2,2363.42833333333,378,"148759"
"149897",2012-12-21,1.5,2364.92833333333,379,"149897"
"149882",2013-01-02,0.166666666666667,2365.095,380,"149882"
"150283",2013-01-03,0.5,2365.595,381,"150283"
"149958",2013-01-08,10.5,2376.095,382,"149958"
"150183",2013-01-09,11.5,2387.595,383,"150183"
"150116",2013-01-10,25,2412.595,384,"150116"
"150611",2013-01-10,1.5,2414.095,385,"150611"
"150794",2013-01-10,9,2423.095,386,"150794"
"148660",2013-01-11,0.5,2423.595,387,"148660"
"150943",2013-01-14,6,2429.595,388,"150943"
"150608",2013-01-15,0.5,2430.095,389,"150608"
"151337",2013-01-15,0.5,2430.595,390,"151337"
"151347",2013-01-15,1.66666666666667,2432.26166666667,391,"151347"
"150881",2013-01-16,2.5,2434.76166666667,392,"150881"
"151503",2013-01-22,17,2451.76166666667,393,"151503"
"151804",2013-01-22,3,2454.76166666667,394,"151804"
"151817",2013-01-22,2.5,2457.26166666667,395,"151817"
"151524",2013-01-24,2.5,2459.76166666667,396,"151524"
"151847",2013-01-24,13.1666666666667,2472.92833333333,397,"151847"
"152106",2013-01-24,17,2489.92833333333,398,"152106"
"152253",2013-01-28,6.25,2496.17833333333,399,"152253"
"151698",2013-01-29,11,2507.17833333333,400,"151698"
"152387",2013-01-29,0.666666666666667,2507.845,401,"152387"
"152700",2013-02-01,3,2510.845,402,"152700"
"152398",2013-02-05,17.5,2528.345,403,"152398"
"152420",2013-02-05,2,2530.345,404,"152420"
"152798",2013-02-05,6.83333333333333,2537.17833333333,405,"152798"
"152900",2013-02-05,0.166666666666667,2537.345,406,"152900"
"152261",2013-02-06,4.25,2541.595,407,"152261"
"152583",2013-02-07,3.5,2545.095,408,"152583"
"152499",2013-02-11,2,2547.095,409,"152499"
"140486",2013-02-14,46.3333333333333,2593.42833333333,410,"140486"
"153404",2013-02-14,1,2594.42833333333,411,"153404"
"153077",2013-02-19,3,2597.42833333333,412,"153077"
"153799",2013-02-19,7,2604.42833333333,413,"153799"
"153754",2013-02-20,0.0833333333333333,2604.51166666667,414,"153754"
"150281",2013-02-25,2,2606.51166666667,415,"150281"
"152944",2013-02-25,20.6666666666667,2627.17833333333,416,"152944"
"153122",2013-02-25,2,2629.17833333333,417,"153122"
"153216",2013-02-25,1,2630.17833333333,418,"153216"
"153424",2013-02-25,1,2631.17833333333,419,"153424"
"153459",2013-02-25,2,2633.17833333333,420,"153459"
"154102",2013-02-25,1,2634.17833333333,421,"154102"
"153899",2013-02-26,5,2639.17833333333,422,"153899"
"154190",2013-02-26,2.5,2641.67833333333,423,"154190"
"153960",2013-02-27,3.16666666666667,2644.845,424,"153960"
"154158",2013-02-27,1.5,2646.345,425,"154158"
"154143",2013-02-28,0.5,2646.845,426,"154143"
"154413",2013-02-28,7.5,2654.345,427,"154413"
"154328",2013-03-05,2.5,2656.845,428,"154328"
"154631",2013-03-05,0.333333333333333,2657.17833333333,429,"154631"
"154653",2013-03-05,0.666666666666667,2657.845,430,"154653"
"151557",2013-03-06,2,2659.845,431,"151557"
"154676",2013-03-06,1,2660.845,432,"154676"
"154752",2013-03-06,0.166666666666667,2661.01166666667,433,"154752"
"154797",2013-03-06,1,2662.01166666667,434,"154797"
"154802",2013-03-06,0.5,2662.51166666667,435,"154802"
"154647",2013-03-07,1,2663.51166666667,436,"154647"
"154941",2013-03-08,35.7,2699.21166666667,437,"154941"
"152537",2013-03-11,3.5,2702.71166666667,438,"152537"
"154391",2013-03-11,3,2705.71166666667,439,"154391"
"154445",2013-03-11,4,2709.71166666667,440,"154445"
"154639",2013-03-11,1.5,2711.21166666667,441,"154639"
"152688",2013-03-13,4.5,2715.71166666667,442,"152688"
"150876",2013-03-14,5,2720.71166666667,443,"150876"
"155131",2013-03-14,3,2723.71166666667,444,"155131"
"155063",2013-03-15,42,2765.71166666667,445,"155063"
"155317",2013-03-15,2,2767.71166666667,446,"155317"
"155337",2013-03-15,5,2772.71166666667,447,"155337"
"155200",2013-03-18,29,2801.71166666667,448,"155200"
"155375",2013-03-18,19,2820.71166666667,449,"155375"
"155534",2013-03-19,4,2824.71166666667,450,"155534"
"155680",2013-03-20,1.25,2825.96166666667,451,"155680"
"155501",2013-03-22,0.333333333333333,2826.295,452,"155501"
"155665",2013-03-22,0.25,2826.545,453,"155665"
"155889",2013-03-23,2,2828.545,454,"155889"
"155429",2013-03-25,4,2832.545,455,"155429"
"155876",2013-03-26,5.5,2838.045,456,"155876"
"155898",2013-03-27,4.5,2842.545,457,"155898"
"156035",2013-03-27,3,2845.545,458,"156035"
"154596",2013-03-29,3.5,2849.045,459,"154596"
"155057",2013-03-29,2,2851.045,460,"155057"
"155079",2013-03-29,2.5,2853.545,461,"155079"
"155984",2013-03-29,3,2856.545,462,"155984"
"156159",2013-03-29,0.5,2857.045,463,"156159"
"156331",2013-03-29,21,2878.045,464,"156331"
"156220",2013-03-30,0.333333333333333,2878.37833333333,465,"156220"
"156231",2013-03-30,0.5,2878.87833333333,466,"156231"
"156281",2013-03-30,3,2881.87833333333,467,"156281"
"156461",2013-04-01,1.66666666666667,2883.545,468,"156461"
"156465",2013-04-01,0.5,2884.045,469,"156465"
"156343",2013-04-04,5.5,2889.545,470,"156343"
"144507",2013-04-05,1,2890.545,471,"144507"
"156438",2013-04-05,1.5,2892.045,472,"156438"
"156706",2013-04-05,9,2901.045,473,"156706"
"156268",2013-04-08,4,2905.045,474,"156268"
"156860",2013-04-08,1.5,2906.545,475,"156860"
"156869",2013-04-10,4,2910.545,476,"156869"
"157067",2013-04-10,0.0833333333333333,2910.62833333333,477,"157067"
"157135",2013-04-12,1.33333333333333,2911.96166666667,478,"157135"
"157254",2013-04-16,0.333333333333333,2912.295,479,"157254"
"157365",2013-04-16,0.5,2912.795,480,"157365"
"157464",2013-04-18,1,2913.795,481,"157464"
"157505",2013-04-24,2,2915.795,482,"157505"
"157743",2013-04-25,3,2918.795,483,"157743"
"157751",2013-04-25,5,2923.795,484,"157751"
"155703",2013-04-30,5.5,2929.295,485,"155703"
"156403",2013-04-30,2,2931.295,486,"156403"
"156513",2013-04-30,3,2934.295,487,"156513"
"157252",2013-04-30,2.5,2936.795,488,"157252"
"157431",2013-04-30,0.5,2937.295,489,"157431"
"157659",2013-04-30,0.5,2937.795,490,"157659"
"157998",2013-04-30,0.5,2938.295,491,"157998"
"158123",2013-04-30,0.5,2938.795,492,"158123"
"158373",2013-04-30,2,2940.795,493,"158373"
"157914",2013-05-01,3.33333333333333,2944.12833333333,494,"157914"
"158475",2013-05-02,0.25,2944.37833333333,495,"158475"
"158553",2013-05-02,1.5,2945.87833333333,496,"158553"
